Year,Number.thousands,realGDPperCap,PopulationK,percentile,income
1947,37237,14117.323879,144126,20,14243
1947,37237,14117.323879,144126,40,22984
1947,37237,14117.323879,144126,60,31166
1947,37237,14117.323879,144126,80,44223
1947,37237,14117.323879,144126,50,26764.1428781121
1947,37237,14117.323879,144126,90,41477
1947,37237,14117.323879,144126,95,54172
1947,37237,14117.323879,144126,99,134415
1947,37237,14117.323879,144126,99.5,203001
1947,37237,14117.323879,144126,99.9,479022
1947,37237,14117.323879,144126,99.99,1584506
1948,38624,14451.938244,146631,20,13779
1948,38624,14451.938244,146631,40,22655
1948,38624,14451.938244,146631,60,30248
1948,38624,14451.938244,146631,80,42196
1948,38624,14451.938244,146631,50,26177.6324368725
1948,38624,14451.938244,146631,90,43459
1948,38624,14451.938244,146631,95,58911
1948,38624,14451.938244,146631,99,136814
1948,38624,14451.938244,146631,99.5,210991
1948,38624,14451.938244,146631,99.9,504131
1948,38624,14451.938244,146631,99.99,1687123
1949,39303,14126.806282,149188,20,13007
1949,39303,14126.806282,149188,40,22221
1949,39303,14126.806282,149188,60,29977
1949,39303,14126.806282,149188,80,42361
1949,39303,14126.806282,149188,50,25809.2796683673
1949,39303,14126.806282,149188,90,43923
1949,39303,14126.806282,149188,95,58971
1949,39303,14126.806282,149188,99,130037
1949,39303,14126.806282,149188,99.5,197117
1949,39303,14126.806282,149188,99.9,467824
1949,39303,14126.806282,149188,99.99,1539131
1950,39929,15105.173951,151684,20,13829
1950,39929,15105.173951,151684,40,23779
1950,39929,15105.173951,151684,60,31647
1950,39929,15105.173951,151684,80,43986
1950,39929,15105.173951,151684,50,27432.353398861
1950,39929,15105.173951,151684,90,48465
1950,39929,15105.173951,151684,95,61084
1950,39929,15105.173951,151684,99,147986
1950,39929,15105.173951,151684,99.5,230773
1950,39929,15105.173951,151684,99.9,565506
1950,39929,15105.173951,151684,99.99,1582089
1951,40578,16046.851126,154287,20,15070
1951,40578,16046.851126,154287,40,24569
1951,40578,16046.851126,154287,60,32501
1951,40578,16046.851126,154287,80,44376
1951,40578,16046.851126,154287,50,28258.0443236966
1951,40578,16046.851126,154287,90,48655
1951,40578,16046.851126,154287,95,61967
1951,40578,16046.851126,154287,99,148725
1951,40578,16046.851126,154287,99.5,222276
1951,40578,16046.851126,154287,99.9,530408
1951,40578,16046.851126,154287,99.99,1780264
1952,40832,16416.465324,156954,20,15557
1952,40832,16416.465324,156954,40,25165
1952,40832,16416.465324,156954,60,34046
1952,40832,16416.465324,156954,80,46049
1952,40832,16416.465324,156954,50,29270.5925802673
1952,40832,16416.465324,156954,90,51928
1952,40832,16416.465324,156954,95,65318
1952,40832,16416.465324,156954,99,144459
1952,40832,16416.465324,156954,99.5,218713
1952,40832,16416.465324,156954,99.9,497284
1952,40832,16416.465324,156954,99.99,1559300
1953,41202,16905.97994,159565,20,16100
1953,41202,16905.97994,159565,40,27322
1953,41202,16905.97994,159565,60,36663
1953,41202,16905.97994,159565,80,49376
1953,41202,16905.97994,159565,50,31649.7470132069
1953,41202,16905.97994,159565,90,53287
1953,41202,16905.97994,159565,95,66868
1953,41202,16905.97994,159565,99,142592
1953,41202,16905.97994,159565,99.5,211860
1953,41202,16905.97994,159565,99.9,465173
1953,41202,16905.97994,159565,99.99,1400826
1954,41951,16518.009994,162391,20,15010
1954,41951,16518.009994,162391,40,26402
1954,41951,16518.009994,162391,60,35742
1954,41951,16518.009994,162391,80,48969
1954,41951,16518.009994,162391,50,30719.0540869995
1954,41951,16518.009994,162391,90,53441
1954,41951,16518.009994,162391,95,68546
1954,41951,16518.009994,162391,99,150457
1954,41951,16518.009994,162391,99.5,222702
1954,41951,16518.009994,162391,99.9,519497
1954,41951,16518.009994,162391,99.99,1652847
1955,42889,17386.138165,165275,20,16643
1955,42889,17386.138165,165275,40,28325
1955,42889,17386.138165,165275,60,38081
1955,42889,17386.138165,165275,80,51577
1955,42889,17386.138165,165275,50,32842.7210352614
1955,42889,17386.138165,165275,90,58502
1955,42889,17386.138165,165275,95,75494
1955,42889,17386.138165,165275,99,162683
1955,42889,17386.138165,165275,99.5,242823
1955,42889,17386.138165,165275,99.9,572363
1955,42889,17386.138165,165275,99.99,1892250
1956,43497,17445.584326,168221,20,17989
1956,43497,17445.584326,168221,40,30274
1956,43497,17445.584326,168221,60,40161
1956,43497,17445.584326,168221,80,54454
1956,43497,17445.584326,168221,50,34868.8129135478
1956,43497,17445.584326,168221,90,60261
1956,43497,17445.584326,168221,95,77500
1956,43497,17445.584326,168221,99,163383
1956,43497,17445.584326,168221,99.5,246756
1956,43497,17445.584326,168221,99.9,585061
1956,43497,17445.584326,168221,99.99,1826274
1957,43696,17495.128044,171274,20,17774
1957,43696,17495.128044,171274,40,30248
1957,43696,17495.128044,171274,60,39964
1957,43696,17495.128044,171274,80,53616
1957,43696,17495.128044,171274,50,34768.2480432938
1957,43696,17495.128044,171274,90,61025
1957,43696,17495.128044,171274,95,78394
1957,43696,17495.128044,171274,99,160721
1957,43696,17495.128044,171274,99.5,237669
1957,43696,17495.128044,171274,99.9,549328
1957,43696,17495.128044,171274,99.99,1665049
1958,44232,17081.063113,174141,20,17590
1958,44232,17081.063113,174141,40,29834
1958,44232,17081.063113,174141,60,39769
1958,44232,17081.063113,174141,80,54230
1958,44232,17081.063113,174141,50,34445.1498182255
1958,44232,17081.063113,174141,90,60928
1958,44232,17081.063113,174141,95,79375
1958,44232,17081.063113,174141,99,158115
1958,44232,17081.063113,174141,99.5,233363
1958,44232,17081.063113,174141,99.9,537411
1958,44232,17081.063113,174141,99.99,1675370
1959,45111,17951.827035,177130,20,18460
1959,45111,17951.827035,177130,40,31479
1959,45111,17951.827035,177130,60,41933
1959,45111,17951.827035,177130,80,57786
1959,45111,17951.827035,177130,50,36331.9268275163
1959,45111,17951.827035,177130,90,64107
1959,45111,17951.827035,177130,95,87316
1959,45111,17951.827035,177130,99,172888
1959,45111,17951.827035,177130,99.5,271542
1959,45111,17951.827035,177130,99.9,614121
1959,45111,17951.827035,177130,99.99,1912328
1960,45539,18042.71319,180760,20,18889
1960,45539,18042.71319,180760,40,32567
1960,45539,18042.71319,180760,60,43178
1960,45539,18042.71319,180760,80,59705
1960,45539,18042.71319,180760,50,37499.0390010197
1960,45539,18042.71319,180760,90,65660
1960,45539,18042.71319,180760,95,79364
1960,45539,18042.71319,180760,99,169120
1960,45539,18042.71319,180760,99.5,245965
1960,45539,18042.71319,180760,99.9,563090
1960,45539,18042.71319,180760,99.99,1891806
1961,46418,18203.094963,183742,20,18808
1961,46418,18203.094963,183742,40,32377
1961,46418,18203.094963,183742,60,44064
1961,46418,18203.094963,183742,80,60689
1961,46418,18203.094963,183742,50,37771.1547083221
1961,46418,18203.094963,183742,90,66926
1961,46418,18203.094963,183742,95,87237
1961,46418,18203.094963,183742,99,175510
1961,46418,18203.094963,183742,99.5,256348
1961,46418,18203.094963,183742,99.9,618948
1961,46418,18203.094963,183742,99.99,2241772
1962,47059,19021.563905,186590,20,19953
1962,47059,19021.563905,186590,40,33254
1962,47059,19021.563905,186590,60,45226
1962,47059,19021.563905,186590,80,63183
1962,47059,19021.563905,186590,50,38780.7349595131
1962,47059,19021.563905,186590,90,70001
1962,47059,19021.563905,186590,95,88701
1962,47059,19021.563905,186590,99,176411
1962,47059,19021.563905,186590,99.5,257882
1962,47059,19021.563905,186590,99.9,589275
1962,47059,19021.563905,186590,99.99,1920891
1963,47540,19565.809733,189300,20,20311
1963,47540,19565.809733,189300,40,34114
1963,47540,19565.809733,189300,60,46801
1963,47540,19565.809733,189300,80,65400
1963,47540,19565.809733,189300,50,39957.0934128097
1963,47540,19565.809733,189300,90,72571
1963,47540,19565.809733,189300,95,92712
1963,47540,19565.809733,189300,99,182765
1963,47540,19565.809733,189300,99.5,264519
1963,47540,19565.809733,189300,99.9,599739
1963,47540,19565.809733,189300,99.99,1915864
1964,47956,20410.877708,191927,20,21035
1964,47956,20410.877708,191927,40,35597
1964,47956,20410.877708,191927,60,48541
1964,47956,20410.877708,191927,80,66023
1964,47956,20410.877708,191927,50,41568.1846728962
1964,47956,20410.877708,191927,90,76647
1964,47956,20410.877708,191927,95,95646
1964,47956,20410.877708,191927,99,206479
1964,47956,20410.877708,191927,99.5,288826
1964,47956,20410.877708,191927,99.9,618471
1964,47956,20410.877708,191927,99.99,2253818
1965,48509,21466.45923,194347,20,22310
1965,48509,21466.45923,194347,40,37372
1965,48509,21466.45923,194347,60,50421
1965,48509,21466.45923,194347,80,68842
1965,48509,21466.45923,194347,50,43408.9116656937
1965,48509,21466.45923,194347,90,80846
1965,48509,21466.45923,194347,95,100799
1965,48509,21466.45923,194347,99,220766
1965,48509,21466.45923,194347,99.5,307043
1965,48509,21466.45923,194347,99.9,643220
1965,48509,21466.45923,194347,99.99,2589695
1966,49214,22619.99408,196599,20,24391
1966,49214,22619.99408,196599,40,39658
1966,49214,22619.99408,196599,60,53078
1966,49214,22619.99408,196599,80,72151
1966,49214,22619.99408,196599,50,45879.9228857242
1966,49214,22619.99408,196599,90,81537
1966,49214,22619.99408,196599,95,103868
1966,49214,22619.99408,196599,99,211942
1966,49214,22619.99408,196599,99.5,306952
1966,49214,22619.99408,196599,99.9,669669
1966,49214,22619.99408,196599,99.99,2460505
1967,50111,22989.429761,198752,20,24698
1967,50111,22989.429761,198752,40,40542
1967,50111,22989.429761,198752,60,54367
1967,50111,22989.429761,198752,80,74533
1967,50111,22989.429761,198752,50,46948.3430378538
1967,50111,22989.429761,198752,90,83850
1967,50111,22989.429761,198752,95,108772
1967,50111,22989.429761,198752,99,228042
1967,50111,22989.429761,198752,99.5,327355
1967,50111,22989.429761,198752,99.9,741280
1967,50111,22989.429761,198752,99.99,2835653
1968,50823,23878.01388,200745,20,26282
1968,50823,23878.01388,200745,40,42222
1968,50823,23878.01388,200745,60,57607
1968,50823,23878.01388,200745,80,77504
1968,50823,23878.01388,200745,50,49318.1787376622
1968,50823,23878.01388,200745,90,87537
1968,50823,23878.01388,200745,95,113601
1968,50823,23878.01388,200745,99,240601
1968,50823,23878.01388,200745,99.5,347067
1968,50823,23878.01388,200745,99.9,822299
1968,50823,23878.01388,200745,99.99,3247135
1969,51586,24385.243683,202736,20,27685
1969,51586,24385.243683,202736,40,44296
1969,51586,24385.243683,202736,60,59799
1969,51586,24385.243683,202736,80,81675
1969,51586,24385.243683,202736,50,51467.0428915437
1969,51586,24385.243683,202736,90,88831
1969,51586,24385.243683,202736,95,113510
1969,51586,24385.243683,202736,99,226805
1969,51586,24385.243683,202736,99.5,325093
1969,51586,24385.243683,202736,99.9,727964
1969,51586,24385.243683,202736,99.99,3005144
1970,52227,24155.639318,205089,20,26913
